ID;STORE;SUPPLIER_CODE;PART_NO;MATERIAL_CODE;INITIAL_DATE;INITIAL_BY;INITIAL_STOCK;STOCK_WEIGHT
1;RM;SCI-TMMIN SCHEME;67181-BZ090;SPC270D1.2106;2022-01-11;Admin;0;0
2;RM;POSCO;67181-BZ160;SPC270C0.65348;2021-12-21;Admin;0;1246
3;RM;POSCO;67181-87Z06;SPC270C0.65347;2021-12-21;Admin;0;458
4;RM;ADM;67245-BZ010;SPC270C0.879;2021-12-17;Admin;0;590
5;RM;SCI-NON SCHEME;17118-BZ140;SECC1.6230;2021-12-17;Admin;0;482
6;RM;SCI-ADM SCHEME;17138-BZ091;SPC270D0.852;2021-12-16;Admin;0;319
7;RM;SSK;82715-BZA90;SPH270C-OD1.627;2021-12-16;Admin;0;186
8;RM;SCI-ADM SCHEME;89439-BZ180;SPH270C-OD2.9100;2021-12-16;Admin;0;458
9;RM;SSK;21893-BZ050;SCGA270D-45-S10.65284;2021-12-15;Admin;0;560
10;RM;SSK;21893-BZ060;SCGA270D-45-S10.65284;2021-12-14;Admin;0;874
11;RM;SCI-ADM SCHEME;33823-BZ011;SPC270C1.2274;2021-12-14;Admin;0;594
12;RM;SCI-ADM SCHEME;48807-BZ010;SPC270C1136;2021-12-14;Admin;0;3319
13;RM;SSK;48809-BZ010;SCGA270C-451.2274;2021-12-13;Admin;0;956
14;RM;SSK;51177-BZ010;SCGA270C-451136;2021-12-13;Admin;0;560
15;RM;SSK;51478-BZ010;SCGA270C-451.698;2021-12-13;Admin;0;352
16;RM;SCI-ADM SCHEME;51568-BZ010;SPC270C1.271;2021-12-13;Admin;0;168
17;RM;SCI-ADM SCHEME;51568-BZ020;SHGA270C-451.655;2021-12-13;Admin;0;766
18;RM;SCI-ADM SCHEME;51568-BZ030;SPH270C-OD1.6250;2021-12-13;Admin;0;568
19;RM;SCI-ADM SCHEME;52185-BZ080;SPC270C0.8300;2021-12-13;Admin;0;520
20;RM;SCI-ADM SCHEME;52185-BZ120;SPC270C0.8300;2021-12-13;Admin;0;653
21;RM;SCI-ADM SCHEME;53785-BZ020;SPH270C-OD1.6160;2021-12-13;Admin;0;416
22;RM;SCI-ADM SCHEME;53786-BZ020;SPH270C-OD1.6150;2021-12-13;Admin;0;1003
23;RM;SCI-ADM SCHEME;55133-BZ040;SPH270C-OD1.6160;2021-12-10;Admin;0;1033
24;RM;SCI-ADM SCHEME;55134-BZ030;SPH270C-OD1.6150;2021-12-10;Admin;0;849
25;RM;SCI-ADM SCHEME;55522-BZ080;SPH270C-OD2.365;2021-12-10;Admin;0;948
26;RM;SCI-ADM SCHEME;55719-BZ160;SPH270C-OD2349;2021-12-10;Admin;0;1917
27;RM;SCI-ADM SCHEME;55719-BZ170;SHGA270C-452349;2021-12-10;Admin;0;268
28;RM;SCI-ADM SCHEME;57157-BZ010;SPC270C1.2235;2021-12-10;Admin;0;1056
29;RM;SCI-ADM SCHEME;57158-BZ010;SPH270C-OD1.8240;2021-12-10;Admin;0;436
30;RM;SSK;57257-BZ030;SCGA270C-451.2277;2021-12-10;Admin;0;255
31;RM;SSK;57645-BZ050;SCGA270C-451.4285;2021-12-10;Admin;0;1408
32;RM;SSK;57873-BZ030;SCGA270C-451.4285;2021-12-10;Admin;0;256
33;RM;SCI-ADM SCHEME;58139-BZ070;SPH270C-OD1.6174;2021-12-09;Admin;0;598
34;RM;SCI-ADM SCHEME;58223-BZ020;SPH270C-OD1.6180;2021-12-09;Admin;0;526
35;RM;SCI-ADM SCHEME;58224-BZ020;SPC270C0.876;2021-12-09;Admin;0;1372
36;RM;SSK;58336-BZ090;SCGA270C-451.6325;2021-12-09;Admin;0;469
37;RM;SCI-NON SCHEME;58793-BZ010;SECC1.294;2021-12-09;Admin;0;1170
38;RM;TTMI-KNSS;58918-BZ020;SHGA270D-451.6130;2021-12-09;Admin;0;186
39;RM;SCI-NON SCHEME;61235-BZ080;SECC1.2170;2021-12-09;Admin;0;450
40;RM;SCI-ADM SCHEME;61237-BZ080;SPC270C1.2225;2021-12-09;Admin;0;385
41;RM;IMP (CSP);63467-BZ020;SPS600.689;2021-12-09;Admin;0;1684
42;RM;SSK;82673-BZ050;SCGA270C-451.2256;2021-12-08;Admin;0;430
43;RM;SSK;82715-BZA80;SCGA270C-450.65175;2021-12-08;Admin;0;545
44;RM;SSK;82715-BZB00;SCGA270C-451.2176;2021-12-08;Admin;0;745
45;RM;SSK;82715-BZB10;SPC270C1.2243;2021-12-08;Admin;0;4185
46;RM;SSK;82715-BZB20;SUS425T2109;2021-12-08;Admin;0;314
47;RM;SSK;82715-BZB30;SUS425T285;2021-12-08;Admin;0;218
48;RM;SCI-NON SCHEME;89539-BZ130;SPH440-OD3.2284;2021-12-08;Admin;0;320
49;RM;SSK;52130-BZ090;SUS409LT-E282;2021-12-08;Admin;0;819
50;RM;SSK;52130-D12L0;SUS409LT-E295;2021-12-08;Admin;0;535
51;RM;SSK;52139-D12L0;JSH440WN-P2193;2021-12-07;Admin;0;2105
52;RM;SSK;31128-BZ040;SPH270C-OD3.2330;2021-12-07;Admin;0;2792
53;RM;SSK;33524-BZ030;SHGA270D-452.688;2021-12-07;Admin;0;583
54;RM;SSK;33524-BZ030A;SCGA340HR-451.6202;2021-12-07;Admin;0;2359
55;RM;SSK;33524-BZ030B;SCGA340HR-451.8245;2021-12-07;Admin;0;950
56;RM;SSK;46334-BZ030;SCGA340HR-451.8175;2021-12-07;Admin;0;1812
57;RM;SSK;52134-BZ050;SCGA340HR-451.6200;2021-12-07;Admin;0;209
58;RM;SSK;58995-BZ050;SHGA270D-452.6113;2021-12-07;Admin;0;2775
59;RM;SSK;58995-BZ060;SCGA440-451.2207;2021-12-10;Admin;0;5387
60;RM;SSK;69719-BZ020;SCGA440-451.2185;2021-12-07;Admin;0;959
61;RM;SSK;74410-BZ050AB;SCGA440-451.2185;2021-12-07;Admin;0;1012
62;RM;SSK;74410-BZ050B;SCGA440-451.2164;2021-12-07;Admin;0;191
63;RM;SSK;74410-BZ050;SCGA270D-451.2200;2021-12-07;Admin;0;370
64;RM;SSK;74410-BZ050A;SCGA270D-451.4296;2021-12-06;Admin;0;1039
65;RM;SSK;82702-BZ020;SPC4400.8348;2021-12-06;Admin;0;1474
66;RM;SSK;82702-BZ020A;SCGA440-451.6236;2021-12-06;Admin;0;832
67;RM;SSK;82702-BZ020B;SCGA440-451.6236;2021-12-05;Admin;0;0
68;RM;SSK;87101-BZ010;SCGA440-451.4308;2021-12-04;Admin;0;0
69;RM;SSK;82715-BZ790;SCGA270C-45133;2021-12-04;Admin;0;149
70;RM;SSK;82715-BZ790A;SCGA270D-451.2170;2021-12-04;Admin;0;565
71;RM;SSK;82715-BZ790B;SCGA340HR-451.6166;2021-12-04;Admin;0;479
72;RM;SSK;82715-BZ800;SCGA340HR-451.2128;2021-12-04;Admin;0;1012
73;RM;SSK;82715-BZ810;SCGA340HR-451.2128;2021-12-04;Admin;0;6184
74;RM;SSK;89439-BZ170;SCGA340HR-451.4200;2021-12-04;Admin;0;0
75;RM;SSK;67123-BZ180;SPC270D1.2297;2021-12-03;Admin;0;267
76;RM;SSK;67124-BZ150;SHGA270D-452.949;2021-12-03;Admin;0;0
77;RM;SSK;89539-BZ360;SHGA270D-452.9138;2021-12-03;Admin;0;316
78;RM;SSK;VV-D51563-BZ060;SHGA270D-452.9138;2021-12-03;Admin;0;328
79;RM;SSK;VV-D51564-BZ010;SCGA270D-451.487;2021-12-03;Admin;0;0
80;RM;SSK;VV-D57145-BZ070;SCGA270D-451.487;2021-12-03;Admin;0;705
81;RM;SSK;VV-D57146-BZ080;SPC270C150;2021-12-03;Admin;0;916
82;RM;SSK;VV-D57516-BZ010;SPH270C-OD2.384;2021-12-03;Admin;0;951
83;RM;SSK;82715-BZ770;SCGA270D-451.4394;2021-12-02;Admin;0;998
84;RM;SSK;82715-BZA60;SCGA440-451134;2021-12-02;Admin;0;314
85;RM;SSK;63127-BZ020;SPC270D1.2218;2021-12-02;Admin;0;218
86;RM;SSK;B320-4-SLO;SCGA440-451.2360;2021-12-02;Admin;0;622
87;RM;SSK;B322-4-SLO;SPC4402228;2021-12-02;Admin;0;514
88;RM;SSK;B322-6-SLO;SPC270D0.9230;2021-12-01;Admin;0;314
89;RM;SSK;B323-5-SLO;SPC270C2138;2021-12-01;Admin;0;488
90;RM;SSK;31311-0W010-S1;SPC270C2136;2021-12-01;Admin;0;0
91;RM;SSK;47111-0W030-S1;SPC4401328;2021-12-01;Admin;0;972
92;RM;SSK;55351-0W010-S1;SPC270C1.2245;2021-12-01;Admin;0;4146
93;RM;SSK;57791-0D010-S1;SPC270D0.6220;2021-12-01;Admin;0;1255
94;RM;SCI-TMMIN SCHEME;57792-0D010-S1;SPH440-OD1.461;2021-12-01;Admin;0;787
95;RM;SSK;58115-KK020-S1;SPC270C1.232;2021-11-30;Admin;0;582
96;RM;HANWA;61185-0W020-S1;SPH440-OD2416;2021-11-27;Admin;0;943
97;RM;HANWA;61327-BZ090-S1;SPH440-OD2440;2021-11-27;Admin;0;2599
98;RM;HANWA;61328-BZ090-S1;SPH590-OD2.6440;2021-11-27;Admin;0;295
99;RM;HANWA;61655-0D020-S1;SPH590-OD2.6469;2021-11-27;Admin;0;197
100;RM;HANWA;61656-0D010-S1;SPH270C-OD2465;2021-11-27;Admin;0;1613
101;RM;HANWA;67173-BZ020;SPH590-OD2.6440;2021-11-24;Admin;0;620
102;RM;HANWA;67183-BZ030;SPH590-OD2.6465;2021-11-24;Admin;0;0
103;RM;SCI-ADM SCHEME;57455-BZ020;SPH270C-OD1.680;2021-11-24;Admin;0;964
104;RM;SCI-ADM SCHEME;57688-BZ030;SPH270C-OD1.680;2021-11-24;Admin;0;4919
105;RM;HANWA;58364-BZ020;SPH590-OD3.2125;2021-11-23;Admin;0;721
106;RM;HANWA;57684-BZ030;SPH590-OD2.676;2021-11-24;Admin;0;2165
107;RM;HANWA;57684-BZ040;SPH440-OD3.283;2021-11-23;Admin;0;0
108;RM;SCI-ADM SCHEME;57688-BZ040;SPH270C-OD1.6538;2021-11-23;Admin;0;392
109;RM;SCI-ADM SCHEME;57656-BZ040;SHGA270C-452.395;2021-11-23;Admin;0;2118
110;RM;SCI-ADM SCHEME;65149-BZ010;SHGA270C-452.395;2021-11-23;Admin;0;3043
111;RM;SCI-ADM SCHEME;65185-BZ010;SPC270C1.2135;2021-11-23;Admin;0;1778
112;RM;SCI-ADM SCHEME;67173-BZ010;SPH270C-OD2.3167;2021-11-23;Admin;0;1665
113;RM;SCI-ADM SCHEME;67321-BZ030;SPH270C-OD1.8218;2021-11-23;Admin;0;2285
114;RM;TTMI-KNSS;67322-BZ030;SPC270D273;2021-11-23;Admin;0;0
115;RM;SCI-NON SCHEME;67323-BZ040;SPH270C-OD2.987;2021-11-23;Admin;0;259
116;RM;TTMI-KNSS;67324-BZ040;SPC270D185;2021-11-23;Admin;0;417
117;RM;SSK;67325-BZ030;JSC270C1101;2021-11-23;Admin;0;271
118;RM;SSK;67326-BZ020;JSC270C196;2021-11-23;Admin;0;690
119;RM;SSK;67327-BZ030;JSH270C-OD1.664;2021-11-23;Admin;0;1098
120;RM;SSK;67328-BZ030;JSH270C-OD1.658;2021-11-23;Admin;0;650
121;RM;SSK;67443-BZ050;SPH270C-OD4194;2021-11-23;Admin;0;175
122;RM;SSK;17452-EW010-00;SPH270C-OD1.660;2021-11-23;Admin;0;2830
123;RM;SSK;17455-EW010-00;SPH270C-OD1.627;2021-11-23;Admin;0;2413
124;RM;TTMI-KNSS;58193-EW020-A0;SPC270D1.656;2021-11-23;Admin;0;5719
125;RM;SSK;75102-EW030-00;SPH270C-OD3.2110;2021-11-23;Admin;0;1540
126;RM;SCI-ADM SCHEME;75121-E0280-A0;SHGA270C-451.6160;2021-11-23;Admin;0;500
127;RM;IMP (CSP);75121-E0280-A0/75102-EW030-00;SPS850.539;2021-11-22;Admin;0;608
128;RM;SSK;78024-EW010-00;SCGA270C-451.2155;2021-11-23;Admin;0;0
129;RM;SCI-ADM SCHEME;S0870-JY010-00;SPH270C-OD1.6158;2021-11-22;Admin;0;1521
130;RM;SCI-ADM SCHEME;S0870-JY030-00;SPC270C1.4110;2021-11-22;Admin;0;1826
131;RM;SCI-ADM SCHEME;S0870-JY030-00/S0870-JY010-00;SPC270C1.299;2021-11-22;Admin;0;2291
132;RM;SSK;S1704-EW010-00;SCGA270C-450.9198;2021-11-22;Admin;0;3018
133;RM;SSK;58267-BZ010;SPH270C-OD1.6176;2021-11-22;Admin;0;455
134;RM;TTMI-KNSS;65713-BZ010;SPC270D1.2110;2021-11-22;Admin;0;-237
135;RM;TTMI-KNSS;65713-BZ030;SPC270D1.6104;2021-11-22;Admin;0;-587
136;RM;IMP (CSP);65714-BZ010;SPS600.665;2021-11-22;Admin;0;-22
137;RM;SSK;65714-BZ030;SECC0.5172;2021-11-22;Admin;0;3024
138;RM;SCI-TMMIN SCHEME;65741-BZ030;SECC0.6182;2021-11-22;Admin;0;2334
139;RM;SCI-ADM SCHEME;65741-BZ010;SPC270C1.6133;2021-11-22;Admin;0;0
140;RM;TTMI-KNSS;65766-BZ011;SCGA270D-45174;2021-11-22;Admin;0;0
141;RM;TTMI-KNSS;66110-BZ010;SCGA270C-450.7150;2021-11-21;Admin;0;548
142;RM;SCI-TMMIN SCHEME;-;SPH270C-OD2.974;2021-11-21;Admin;0;0
143;RM;TTMI-KNSS;84629;SPC270D1.274;2021-11-21;Admin;0;2403
144;RM;TTMI-KNSS;84631;SCGA270D-451.274;2021-11-20;Admin;0;0
145;RM;TTMI-KNSS;84628;SPC270D0.798;2021-11-24;Admin;0;629
146;RM;TTMI-KNSS;91498;SCGA270D-450.856;2021-11-20;Admin;0;514
147;RM;TTMI-KNSS;174806;SCGA270D-451.294;2021-11-20;Admin;0;1007
148;RM;TTMI-KNSS;179506;SPC270D0.8102;2021-11-20;Admin;0;3382
149;RM;TTMI-KNSS;194362;SPC270D1.282;2021-11-20;Admin;0;473
150;RM;TTMI-KNSS;239030;SPC270D1.298;2021-11-22;Admin;0;0
151;RM;TTMI-KNSS;PV-023B;SPC270D1.298;2021-11-20;Admin;0;1078
152;RM;TTMI-KNSS;500153;SCGA270D-451.269;2021-11-20;Admin;0;1808
153;RM;TTMI-KNSS;502070;SPC4401.4222;2021-12-10;Admin;3138;3970
154;RM;TTMI-KNSS;500155;SCGA440-451258;2021-11-20;Admin;0;0
155;RM;TTMI-KNSS;2/162032-01V;SCGA440-451254;2021-11-20;Admin;0;658
156;RM;SCI-TMMIN SCHEME;2/162032;SHGA270D-452.8168;2021-11-23;Admin;0;0
157;RM;TTMI-KNSS;161584;SCGA440-451.8184;2021-11-22;Admin;0;666
158;RM;TTMI-KNSS;161582;SCGA440-451.268;2021-11-22;Admin;0;118
159;RM;TTMI-KNSS;161583;SCGA270D-451131;2021-11-19;Admin;0;1237
160;RM;TTMI-KNSS;93633;SCGA270D-451129;2021-11-19;Admin;0;8721,5
161;RM;TTMI-KNSS;500944;SHGA270D-452.3123;2021-11-19;Admin;0;3986
162;RM;TTMI-KNSS;141285;SCGA270D-452.3112;2021-11-19;Admin;0;3831
163;RM;TTMI-KNSS;141284;SHGA270D-452.3121;2021-11-19;Admin;0;753
164;RM;SCI-TMMIN SCHEME;141283;SPH440-OD2.669;2021-11-19;Admin;0;0
165;RM;SCI-TMMIN SCHEME;141281;SPH440-OD2.6148;2021-11-19;Admin;0;1122
166;RM;SCI-TMMIN SCHEME;100853;SPH440-OD2.6112;2021-11-19;Admin;0;446
167;RM;TTMI-KNSS;500888;SPC270D1.2180;2021-11-19;Admin;0;1139
168;RM;TTMI-KNSS;700026;SPC270C1.2125;2021-11-19;Admin;0;1403
169;RM;SSK;500578;SPCC1170;2021-12-10;Admin;0;0
170;RM;HTI;86148;JAC270C-451.2237;2021-11-19;Admin;0;1426
171;RM;HTI;233136;JAC270C-451.2237;2021-11-19;Admin;0;1932
172;RM;SSK;124046;EGC20/20170;2021-11-19;Admin;0;5621
173;RM;SSK;138865;EGC20/20185;2021-11-22;Admin;0;0
